worker,problem,example,row,col,posterior
A222R4PNCF08OF,36,2,2,3,0.13
A222R4PNCF08OF,36,3,2,5,0.28
A222R4PNCF08OF,36,4,1,1,0.52
A222R4PNCF08OF,7,1,5,5,0.48
A222R4PNCF08OF,7,2,5,3,0.5
A222R4PNCF08OF,7,3,2,5,0.53
A222R4PNCF08OF,7,4,2,3,0.55
A3FNC8ELMK8YJA,13,1,4,3,0.04
A3FNC8ELMK8YJA,13,2,4,4,0.28
A3FNC8ELMK8YJA,13,3,6,2,0.52
A3FNC8ELMK8YJA,13,4,6,5,0.73
A3FNC8ELMK8YJA,3,1,3,3,0.24
A3FNC8ELMK8YJA,3,2,3,4,0.34
A3FNC8ELMK8YJA,3,3,4,3,0.51
A3FNC8ELMK8YJA,3,4,4,4,0.76
A3FNC8ELMK8YJA,24,1,2,3,0.09
A3FNC8ELMK8YJA,24,2,4,2,0.39
A3FNC8ELMK8YJA,24,3,6,4,0.48
A3FNC8ELMK8YJA,24,4,5,3,0.68
A3FNC8ELMK8YJA,28,1,3,2,0.09
A3FNC8ELMK8YJA,28,2,3,5,0.29
A3FNC8ELMK8YJA,28,3,5,2,0.33
A3FNC8ELMK8YJA,28,4,5,5,0.33
A3FNC8ELMK8YJA,33,1,2,3,0.08
A3FNC8ELMK8YJA,33,2,3,4,0.2
A3FNC8ELMK8YJA,33,3,4,4,0.24
A3FNC8ELMK8YJA,33,4,5,3,0.33
A3FNC8ELMK8YJA,23,1,2,3,0.17
A3FNC8ELMK8YJA,23,2,2,4,0.27
A3FNC8ELMK8YJA,23,3,5,3,0.47
A3FNC8ELMK8YJA,23,4,5,4,0.77
A3FNC8ELMK8YJA,31,1,2,1,0.08
A3FNC8ELMK8YJA,31,2,2,6,0.14
A3FNC8ELMK8YJA,31,3,5,2,0.19
A3FNC8ELMK8YJA,31,4,5,6,0.25
A3FNC8ELMK8YJA,10,1,2,2,0.08
A3FNC8ELMK8YJA,10,2,5,3,0.31
A3FNC8ELMK8YJA,10,3,5,5,0.36
A3FNC8ELMK8YJA,10,4,1,5,0.41
A3FNC8ELMK8YJA,4,1,2,1,0.16
A3FNC8ELMK8YJA,4,2,2,6,0.2
A3FNC8ELMK8YJA,4,3,4,3,0.26
A3FNC8ELMK8YJA,4,4,4,4,0.32
A3FNC8ELMK8YJA,8,1,4,1,0.06
A3FNC8ELMK8YJA,8,2,4,2,0.1
A3FNC8ELMK8YJA,8,3,5,2,0.16
A3FNC8ELMK8YJA,8,4,6,2,0.47
A3FNC8ELMK8YJA,35,1,1,1,0.11
A3FNC8ELMK8YJA,35,2,1,6,0.16
A3FNC8ELMK8YJA,35,3,6,1,0.49
A3FNC8ELMK8YJA,35,4,6,6,0.86
A3FNC8ELMK8YJA,19,1,1,1,0.04
A3FNC8ELMK8YJA,19,2,6,6,0.1
A3FNC8ELMK8YJA,19,3,5,2,0.21
A3FNC8ELMK8YJA,19,4,2,5,0.25
A3FNC8ELMK8YJA,27,1,5,5,0.05
A3FNC8ELMK8YJA,27,2,5,2,0.11
A3FNC8ELMK8YJA,27,3,3,5,0.17
A3FNC8ELMK8YJA,27,4,3,2,0.21
A3FNC8ELMK8YJA,14,1,3,3,0.08
A3FNC8ELMK8YJA,14,2,3,4,0.12
A3FNC8ELMK8YJA,14,3,4,3,0.18
A3FNC8ELMK8YJA,14,4,4,4,0.47
A3FNC8ELMK8YJA,22,1,2,3,0.07
A3FNC8ELMK8YJA,22,2,2,4,0.11
A3FNC8ELMK8YJA,22,3,5,3,0.22
A3FNC8ELMK8YJA,22,4,5,4,0.43
A3FNC8ELMK8YJA,2,1,1,2,0.09
A3FNC8ELMK8YJA,2,2,1,5,0.16
A3FNC8ELMK8YJA,2,3,6,2,0.65
A3FNC8ELMK8YJA,2,4,6,5,0.85
A3FNC8ELMK8YJA,39,1,1,5,0.17
A3FNC8ELMK8YJA,39,2,2,5,0.65
A3FNC8ELMK8YJA,39,3,5,5,0.69
A3FNC8ELMK8YJA,39,4,6,5,0.85
A3FNC8ELMK8YJA,7,1,5,5,0.13
A3FNC8ELMK8YJA,7,2,5,4,0.37
A3FNC8ELMK8YJA,7,3,5,3,0.44
A3FNC8ELMK8YJA,7,4,2,3,0.69
A3FNC8ELMK8YJA,1,1,1,3,0.34
A3FNC8ELMK8YJA,1,2,1,4,0.4
A3FNC8ELMK8YJA,1,3,2,2,0.56
A3FNC8ELMK8YJA,1,4,2,5,0.87
A3FNC8ELMK8YJA,20,1,4,1,0.13
A3FNC8ELMK8YJA,20,2,5,2,0.23
A3FNC8ELMK8YJA,20,3,2,5,0.36
A3FNC8ELMK8YJA,20,4,3,6,0.45
A34SIGOLUGKIHJ,1,1,1,3,0.11
A34SIGOLUGKIHJ,1,2,3,6,0.28
A34SIGOLUGKIHJ,1,3,6,4,0.59
A34SIGOLUGKIHJ,1,4,4,1,0.69
A34SIGOLUGKIHJ,18,1,1,4,0.11
A34SIGOLUGKIHJ,18,2,3,6,0.18
A34SIGOLUGKIHJ,18,3,4,1,0.26
A34SIGOLUGKIHJ,18,4,6,3,0.37
A34SIGOLUGKIHJ,11,1,2,3,0.06
A34SIGOLUGKIHJ,11,2,2,4,0.2
A34SIGOLUGKIHJ,11,3,5,6,0.27
A34SIGOLUGKIHJ,11,4,5,1,0.68
A34SIGOLUGKIHJ,5,1,5,1,0.19
A34SIGOLUGKIHJ,5,2,6,6,0.57
A34SIGOLUGKIHJ,5,3,6,1,0.72
A34SIGOLUGKIHJ,5,4,5,6,0.94
A34SIGOLUGKIHJ,40,1,1,1,0.07
A34SIGOLUGKIHJ,40,2,6,6,0.59
A34SIGOLUGKIHJ,40,3,2,2,0.69
A34SIGOLUGKIHJ,40,4,3,3,0.85
A34SIGOLUGKIHJ,33,1,2,3,0.13
A34SIGOLUGKIHJ,33,2,5,4,0.71
A34SIGOLUGKIHJ,33,3,2,4,0.86
A34SIGOLUGKIHJ,33,4,5,3,0.97
A34SIGOLUGKIHJ,21,1,2,4,0.09
A34SIGOLUGKIHJ,21,2,4,4,0.26
A34SIGOLUGKIHJ,21,3,4,2,0.67
A34SIGOLUGKIHJ,21,4,3,3,0.96
A34SIGOLUGKIHJ,24,1,1,3,0.06
A34SIGOLUGKIHJ,24,2,3,5,0.19
A34SIGOLUGKIHJ,24,3,5,3,0.27
A34SIGOLUGKIHJ,24,4,3,2,0.38
A34SIGOLUGKIHJ,17,1,1,4,0.01
A34SIGOLUGKIHJ,17,2,3,6,0.14
A34SIGOLUGKIHJ,17,3,5,4,0.2
A34SIGOLUGKIHJ,17,4,6,3,0.26
A34SIGOLUGKIHJ,9,1,2,2,0.04
A34SIGOLUGKIHJ,9,2,5,3,0.19
A34SIGOLUGKIHJ,9,3,2,1,0.51
A34SIGOLUGKIHJ,9,4,6,3,0.8
A34SIGOLUGKIHJ,25,1,2,3,0.08
A34SIGOLUGKIHJ,25,2,5,4,0.18
A34SIGOLUGKIHJ,25,3,3,6,0.67
A34SIGOLUGKIHJ,25,4,4,1,0.79
A34SIGOLUGKIHJ,6,1,1,3,0.13
A34SIGOLUGKIHJ,6,2,3,5,0.2
A34SIGOLUGKIHJ,6,3,5,3,0.27
A34SIGOLUGKIHJ,6,4,3,1,0.34
A34SIGOLUGKIHJ,2,1,1,2,0.12
A34SIGOLUGKIHJ,2,2,6,5,0.33
A34SIGOLUGKIHJ,2,3,1,5,0.72
A34SIGOLUGKIHJ,2,4,6,2,0.83
A34SIGOLUGKIHJ,3,1,3,3,0.15
A34SIGOLUGKIHJ,3,2,3,4,0.45
A34SIGOLUGKIHJ,3,3,4,4,0.84
A34SIGOLUGKIHJ,3,4,4,3,1
A34SIGOLUGKIHJ,16,1,1,3,0.07
A34SIGOLUGKIHJ,16,2,6,4,0.1
A34SIGOLUGKIHJ,16,3,3,2,0.51
A34SIGOLUGKIHJ,16,4,4,5,0.81
A34SIGOLUGKIHJ,37,1,1,1,0.02
A34SIGOLUGKIHJ,37,2,1,2,0.07
A34SIGOLUGKIHJ,37,3,2,1,0.1
A34SIGOLUGKIHJ,37,4,2,2,0.32
A34SIGOLUGKIHJ,35,1,1,1,0.04
A34SIGOLUGKIHJ,35,2,1,5,0.11
A34SIGOLUGKIHJ,35,3,1,2,0.25
A34SIGOLUGKIHJ,35,4,5,2,0.3
A34SIGOLUGKIHJ,26,1,2,3,0.06
A34SIGOLUGKIHJ,26,2,5,4,0.19
A34SIGOLUGKIHJ,26,3,3,2,0.46
A34SIGOLUGKIHJ,26,4,4,5,0.83
A34SIGOLUGKIHJ,31,1,2,1,0.06
A34SIGOLUGKIHJ,31,2,3,6,0.2
A34SIGOLUGKIHJ,31,3,5,1,0.33
A34SIGOLUGKIHJ,31,4,5,5,0.73
A34SIGOLUGKIHJ,14,1,3,3,0.05
A34SIGOLUGKIHJ,14,2,4,4,0.27
A34SIGOLUGKIHJ,14,3,3,4,0.36
A34SIGOLUGKIHJ,14,4,4,3,1
AVCOBHDVXZOZL,3,1,3,3,0.49
AVCOBHDVXZOZL,3,2,4,3,0.49
AVCOBHDVXZOZL,3,3,4,4,0.53
AVCOBHDVXZOZL,3,4,3,4,0.67
AVCOBHDVXZOZL,34,1,2,1,0.54
AVCOBHDVXZOZL,34,2,5,1,0.54
AVCOBHDVXZOZL,34,3,5,6,0.48
AVCOBHDVXZOZL,34,4,2,6,0.56
AVCOBHDVXZOZL,17,1,5,4,0.5
AVCOBHDVXZOZL,17,2,4,1,0.5
AVCOBHDVXZOZL,17,3,1,4,0.48
AVCOBHDVXZOZL,17,4,6,3,0.48
AVCOBHDVXZOZL,13,1,5,4,0.48
AVCOBHDVXZOZL,13,2,4,4,0.48
AVCOBHDVXZOZL,13,3,5,5,0.52
AVCOBHDVXZOZL,13,4,5,2,0.71
AVCOBHDVXZOZL,26,1,3,2,0.5
AVCOBHDVXZOZL,26,2,3,5,0.5
AVCOBHDVXZOZL,26,3,2,3,0.48
AVCOBHDVXZOZL,26,4,5,4,0.5
AVCOBHDVXZOZL,29,1,4,2,0.42
AVCOBHDVXZOZL,29,2,5,2,0.57
AVCOBHDVXZOZL,29,3,5,5,0.94
AVCOBHDVXZOZL,29,4,2,5,0.84
AVCOBHDVXZOZL,25,1,2,3,0.56
AVCOBHDVXZOZL,25,2,2,4,0.61
AVCOBHDVXZOZL,25,3,5,3,0.61
AVCOBHDVXZOZL,25,4,5,4,0.61
AVCOBHDVXZOZL,20,1,6,6,0.51
AVCOBHDVXZOZL,20,2,1,1,0.56
AVCOBHDVXZOZL,20,3,5,2,0.49
AVCOBHDVXZOZL,20,4,2,5,0.56
AVCOBHDVXZOZL,33,1,2,3,0.43
AVCOBHDVXZOZL,33,2,5,4,0.44
AVCOBHDVXZOZL,33,3,5,3,0.46
AVCOBHDVXZOZL,33,4,2,4,0.53
AVCOBHDVXZOZL,16,1,3,5,0.67
AVCOBHDVXZOZL,16,2,4,5,0.54
AVCOBHDVXZOZL,16,3,1,4,0.72
AVCOBHDVXZOZL,16,4,6,4,0.68
AVCOBHDVXZOZL,10,1,5,3,0.36
AVCOBHDVXZOZL,10,2,1,5,0.4
AVCOBHDVXZOZL,10,3,2,2,0.46
AVCOBHDVXZOZL,10,4,6,2,0.46
AVCOBHDVXZOZL,28,1,3,2,0.51
AVCOBHDVXZOZL,28,2,3,5,0.51
AVCOBHDVXZOZL,28,3,5,2,0.53
AVCOBHDVXZOZL,28,4,5,5,0.53
AVCOBHDVXZOZL,7,1,2,3,0.46
AVCOBHDVXZOZL,7,2,5,5,0.46
AVCOBHDVXZOZL,7,3,5,3,0.46
AVCOBHDVXZOZL,7,4,2,5,0.52
AVCOBHDVXZOZL,23,1,5,5,0.41
AVCOBHDVXZOZL,23,2,5,3,0.46
AVCOBHDVXZOZL,23,3,2,3,0.44
AVCOBHDVXZOZL,23,4,1,2,0.46
AVCOBHDVXZOZL,37,1,1,1,0.48
AVCOBHDVXZOZL,37,2,1,6,0.52
AVCOBHDVXZOZL,37,3,6,1,0.46
AVCOBHDVXZOZL,37,4,6,6,0.5
AVCOBHDVXZOZL,8,1,2,3,0.51
AVCOBHDVXZOZL,8,2,2,4,0.51
AVCOBHDVXZOZL,8,3,3,1,0.51
AVCOBHDVXZOZL,8,4,4,1,0.51
AVCOBHDVXZOZL,5,1,5,1,0.55
AVCOBHDVXZOZL,5,2,6,6,0.5
AVCOBHDVXZOZL,5,3,6,1,0.53
AVCOBHDVXZOZL,5,4,5,6,0.48
AVCOBHDVXZOZL,14,1,3,3,0.79
AVCOBHDVXZOZL,14,2,3,4,0.91
AVCOBHDVXZOZL,14,3,4,3,0.95
AVCOBHDVXZOZL,14,4,4,4,0.95
AVCOBHDVXZOZL,1,1,1,3,0.89
AVCOBHDVXZOZL,1,2,6,4,0.95
AVCOBHDVXZOZL,1,3,1,4,0.88
AVCOBHDVXZOZL,1,4,6,3,0.89
AVCOBHDVXZOZL,11,1,2,3,0.53
AVCOBHDVXZOZL,11,2,6,1,0.53
AVCOBHDVXZOZL,11,3,6,6,0.53
AVCOBHDVXZOZL,11,4,2,4,0.84
A23KAJRDVCVGOE,30,1,5,2,0.51
A23KAJRDVCVGOE,30,2,4,2,0.61
A23KAJRDVCVGOE,30,3,2,4,0.49
A23KAJRDVCVGOE,30,4,5,4,0.56
A23KAJRDVCVGOE,15,1,3,2,0.22
A23KAJRDVCVGOE,15,2,4,2,0.41
A23KAJRDVCVGOE,15,3,5,2,0.3
A23KAJRDVCVGOE,15,4,5,4,0.6
A23KAJRDVCVGOE,17,1,4,1,0
A23KAJRDVCVGOE,17,2,6,3,0.08
A23KAJRDVCVGOE,17,3,3,6,0.15
A23KAJRDVCVGOE,17,4,1,4,0.19
A23KAJRDVCVGOE,32,1,1,2,0.1
A23KAJRDVCVGOE,32,2,1,5,0.17
A23KAJRDVCVGOE,32,3,6,2,0.09
A23KAJRDVCVGOE,32,4,5,4,0.18
A23KAJRDVCVGOE,36,1,1,1,0.06
A23KAJRDVCVGOE,36,2,3,1,0.06
A23KAJRDVCVGOE,36,3,3,6,0.5
A23KAJRDVCVGOE,36,4,1,6,0.57
A23KAJRDVCVGOE,37,1,1,1,0.07
A23KAJRDVCVGOE,37,2,5,1,0.2
A23KAJRDVCVGOE,37,3,1,6,0.53
A23KAJRDVCVGOE,37,4,6,6,0.35
A23KAJRDVCVGOE,29,1,2,4,0.07
A23KAJRDVCVGOE,29,2,5,2,0.26
A23KAJRDVCVGOE,29,3,5,5,0.13
A23KAJRDVCVGOE,29,4,2,5,0.13
A23KAJRDVCVGOE,23,1,1,2,0.1
A23KAJRDVCVGOE,23,2,6,2,0.34
A23KAJRDVCVGOE,23,3,6,5,0.21
A23KAJRDVCVGOE,23,4,1,5,0.12
A23KAJRDVCVGOE,3,1,3,4,0.08
A23KAJRDVCVGOE,3,2,3,3,0.13
A23KAJRDVCVGOE,3,3,4,4,0.63
A23KAJRDVCVGOE,3,4,4,3,0.96
A23KAJRDVCVGOE,2,1,1,5,0.44
A23KAJRDVCVGOE,2,2,6,5,0.44
A23KAJRDVCVGOE,2,3,6,2,0.44
A23KAJRDVCVGOE,2,4,1,2,0.31
A23KAJRDVCVGOE,35,1,6,6,0.18
A23KAJRDVCVGOE,35,2,6,1,0.18
A23KAJRDVCVGOE,35,3,1,1,0.18
A23KAJRDVCVGOE,35,4,1,6,0.18
A23KAJRDVCVGOE,12,1,4,2,0.05
A23KAJRDVCVGOE,12,2,6,5,0.05
A23KAJRDVCVGOE,12,3,3,5,0.05
A23KAJRDVCVGOE,12,4,6,1,0.57
A23KAJRDVCVGOE,38,1,6,3,0.09
A23KAJRDVCVGOE,38,2,6,1,0.24
A23KAJRDVCVGOE,38,3,1,6,0.24
A23KAJRDVCVGOE,38,4,1,4,0.12
A23KAJRDVCVGOE,10,1,6,2,0.34
A23KAJRDVCVGOE,10,2,6,5,0.28
A23KAJRDVCVGOE,10,3,4,2,0.28
A23KAJRDVCVGOE,10,4,1,5,0.22
A23KAJRDVCVGOE,13,1,6,2,0.27
A23KAJRDVCVGOE,13,2,4,3,0.27
A23KAJRDVCVGOE,13,3,6,5,0.27
A23KAJRDVCVGOE,13,4,4,4,0.52
A23KAJRDVCVGOE,34,1,5,1,0.15
A23KAJRDVCVGOE,34,2,5,6,0.1
A23KAJRDVCVGOE,34,3,2,1,0.18
A23KAJRDVCVGOE,34,4,2,6,0.18
A23KAJRDVCVGOE,4,1,2,1,0
A23KAJRDVCVGOE,4,2,2,6,0
A23KAJRDVCVGOE,4,3,6,1,0.24
A23KAJRDVCVGOE,4,4,6,6,0.17
A23KAJRDVCVGOE,40,1,1,1,0
A23KAJRDVCVGOE,40,2,3,3,0.19
A23KAJRDVCVGOE,40,3,5,5,0.6
A23KAJRDVCVGOE,40,4,6,6,0.81
A23KAJRDVCVGOE,5,1,5,6,0.11
A23KAJRDVCVGOE,5,2,6,5,0.42
A23KAJRDVCVGOE,5,3,5,1,0.34
A23KAJRDVCVGOE,5,4,6,1,0.34
A23KAJRDVCVGOE,24,1,1,4,0.07
A23KAJRDVCVGOE,24,2,1,3,0.07
A23KAJRDVCVGOE,24,3,6,4,0.07
A23KAJRDVCVGOE,24,4,6,3,0.07
A248QG4DPULP46,36,1,1,1,0.09
A248QG4DPULP46,36,2,1,6,0.36
A248QG4DPULP46,36,3,3,1,0.78
A248QG4DPULP46,36,4,3,6,1
A248QG4DPULP46,32,1,1,2,0.14
A248QG4DPULP46,32,2,2,4,0.3
A248QG4DPULP46,32,3,2,3,0.51
A248QG4DPULP46,32,4,1,5,0.57
A248QG4DPULP46,33,1,2,3,0.11
A248QG4DPULP46,33,2,2,4,0.29
A248QG4DPULP46,33,3,5,3,0.51
A248QG4DPULP46,33,4,5,4,0.81
A248QG4DPULP46,1,1,1,3,0.27
A248QG4DPULP46,1,2,4,1,0.34
A248QG4DPULP46,1,3,3,6,0.95
A248QG4DPULP46,1,4,6,4,0.99
A248QG4DPULP46,24,1,1,3,0.13
A248QG4DPULP46,24,2,4,2,0.45
A248QG4DPULP46,24,3,6,4,0.98
A248QG4DPULP46,24,4,3,5,1
A248QG4DPULP46,30,1,2,4,0.11
A248QG4DPULP46,30,2,3,5,0.49
A248QG4DPULP46,30,3,5,4,0.67
A248QG4DPULP46,30,4,2,5,0.98
A248QG4DPULP46,17,1,4,1,0.06
A248QG4DPULP46,17,2,5,4,0.19
A248QG4DPULP46,17,3,2,3,0.42
A248QG4DPULP46,17,4,3,6,0.76
A248QG4DPULP46,20,1,5,2,0
A248QG4DPULP46,20,2,1,1,0.14
A248QG4DPULP46,20,3,4,1,0.51
A248QG4DPULP46,20,4,2,5,0.89
A248QG4DPULP46,9,1,2,1,0.02
A248QG4DPULP46,9,2,5,3,0.22
A248QG4DPULP46,9,3,6,3,0.45
A248QG4DPULP46,9,4,2,2,0.74
A248QG4DPULP46,10,1,6,2,0.1
A248QG4DPULP46,10,2,4,2,0.24
A248QG4DPULP46,10,3,1,5,0.37
A248QG4DPULP46,10,4,3,6,0.65
A248QG4DPULP46,12,1,3,3,0.2
A248QG4DPULP46,12,2,4,2,0.56
A248QG4DPULP46,12,3,5,1,0.99
A248QG4DPULP46,12,4,3,5,1
A248QG4DPULP46,13,1,4,3,0.03
A248QG4DPULP46,13,2,4,4,0.88
A248QG4DPULP46,13,3,5,2,1
A248QG4DPULP46,13,4,5,5,1
A248QG4DPULP46,7,1,5,5,0.25
A248QG4DPULP46,7,2,5,3,0.73
A248QG4DPULP46,7,3,2,3,0.97
A248QG4DPULP46,7,4,2,5,1
A248QG4DPULP46,2,1,4,5,0.04
A248QG4DPULP46,2,2,1,5,0.2
A248QG4DPULP46,2,3,6,5,1
A248QG4DPULP46,2,4,1,2,1
A248QG4DPULP46,14,1,3,3,0.13
A248QG4DPULP46,14,2,4,4,0.71
A248QG4DPULP46,14,3,3,4,1
A248QG4DPULP46,14,4,4,3,1
A248QG4DPULP46,34,1,2,1,0.05
A248QG4DPULP46,34,2,3,1,0.12
A248QG4DPULP46,34,3,2,2,0.26
A248QG4DPULP46,34,4,5,2,0.82
A248QG4DPULP46,37,1,2,2,0.16
A248QG4DPULP46,37,2,5,2,0.42
A248QG4DPULP46,37,3,2,5,0.98
A248QG4DPULP46,37,4,5,5,1
A248QG4DPULP46,5,1,5,1,0
A248QG4DPULP46,5,2,5,6,0.69
A248QG4DPULP46,5,3,6,1,0.88
A248QG4DPULP46,5,4,6,6,0.99
A248QG4DPULP46,25,1,2,3,0.09
A248QG4DPULP46,25,2,3,1,0.24
A248QG4DPULP46,25,3,5,4,0.52
A248QG4DPULP46,25,4,4,6,0.99
A248QG4DPULP46,40,1,1,1,0.13
A248QG4DPULP46,40,2,3,3,0.39
A248QG4DPULP46,40,3,5,5,0.84
A248QG4DPULP46,40,4,6,6,0.98
A1AZLJ3R5FQ9B7,39,1,6,2,0.02
A1AZLJ3R5FQ9B7,39,2,1,5,0.1
A1AZLJ3R5FQ9B7,39,3,5,5,0.31
A1AZLJ3R5FQ9B7,39,4,1,2,0.51
A1AZLJ3R5FQ9B7,8,1,4,1,0.09
A1AZLJ3R5FQ9B7,8,2,2,4,0.14
A1AZLJ3R5FQ9B7,8,3,6,4,0.16
A1AZLJ3R5FQ9B7,8,4,3,2,0.26
A1AZLJ3R5FQ9B7,27,1,3,2,0
A1AZLJ3R5FQ9B7,27,2,3,5,0.04
A1AZLJ3R5FQ9B7,27,3,6,6,0.09
A1AZLJ3R5FQ9B7,27,4,6,1,0.09
A1AZLJ3R5FQ9B7,4,1,2,1,0
A1AZLJ3R5FQ9B7,4,2,2,6,0.01
A1AZLJ3R5FQ9B7,4,3,6,3,0.07
A1AZLJ3R5FQ9B7,4,4,4,4,0.15
A1AZLJ3R5FQ9B7,2,1,1,2,0
A1AZLJ3R5FQ9B7,2,2,1,5,0
A1AZLJ3R5FQ9B7,2,3,6,2,0.76
A1AZLJ3R5FQ9B7,2,4,6,5,0.97
A1AZLJ3R5FQ9B7,21,1,2,4,0.07
A1AZLJ3R5FQ9B7,21,2,4,2,0.12
A1AZLJ3R5FQ9B7,21,3,4,4,0.17
A1AZLJ3R5FQ9B7,21,4,3,3,0.77
A1AZLJ3R5FQ9B7,31,1,5,1,0
A1AZLJ3R5FQ9B7,31,2,2,6,0.07
A1AZLJ3R5FQ9B7,31,3,2,1,0.1
A1AZLJ3R5FQ9B7,31,4,5,6,0.49
A1AZLJ3R5FQ9B7,36,1,1,1,0.06
A1AZLJ3R5FQ9B7,36,2,1,6,0.19
A1AZLJ3R5FQ9B7,36,3,3,1,0.73
A1AZLJ3R5FQ9B7,36,4,3,6,0.92
A1AZLJ3R5FQ9B7,34,1,2,1,0.03
A1AZLJ3R5FQ9B7,34,2,3,6,0.06
A1AZLJ3R5FQ9B7,34,3,5,1,0.1
A1AZLJ3R5FQ9B7,34,4,5,6,0.23
A1AZLJ3R5FQ9B7,22,1,2,3,0.09
A1AZLJ3R5FQ9B7,22,2,5,4,0.41
A1AZLJ3R5FQ9B7,22,3,2,4,0.81
A1AZLJ3R5FQ9B7,22,4,5,3,0.95
A1AZLJ3R5FQ9B7,9,1,2,1,0.06
A1AZLJ3R5FQ9B7,9,2,6,3,0.1
A1AZLJ3R5FQ9B7,9,3,6,1,0.23
A1AZLJ3R5FQ9B7,9,4,5,3,0.74
A1AZLJ3R5FQ9B7,30,1,5,2,0
A1AZLJ3R5FQ9B7,30,2,2,5,0
A1AZLJ3R5FQ9B7,30,3,4,4,0.05
A1AZLJ3R5FQ9B7,30,4,3,4,0.15
A1AZLJ3R5FQ9B7,33,1,2,3,0.05
A1AZLJ3R5FQ9B7,33,2,5,4,0.46
A1AZLJ3R5FQ9B7,33,3,2,4,0.73
A1AZLJ3R5FQ9B7,33,4,5,3,0.94
A1AZLJ3R5FQ9B7,40,1,1,1,0.05
A1AZLJ3R5FQ9B7,40,2,6,6,0.79
A1AZLJ3R5FQ9B7,40,3,3,3,0.93
A1AZLJ3R5FQ9B7,40,4,4,4,0.93
A1AZLJ3R5FQ9B7,32,1,1,2,0
A1AZLJ3R5FQ9B7,32,2,6,5,0
A1AZLJ3R5FQ9B7,32,3,5,3,0.27
A1AZLJ3R5FQ9B7,32,4,2,4,0.42
A1AZLJ3R5FQ9B7,19,1,5,2,0
A1AZLJ3R5FQ9B7,19,2,2,5,0
A1AZLJ3R5FQ9B7,19,3,2,2,0.07
A1AZLJ3R5FQ9B7,19,4,6,6,0.58
A1AZLJ3R5FQ9B7,25,1,3,1,0.06
A1AZLJ3R5FQ9B7,25,2,3,5,0.06
A1AZLJ3R5FQ9B7,25,3,5,3,0.11
A1AZLJ3R5FQ9B7,25,4,2,4,0.11
A1AZLJ3R5FQ9B7,14,1,3,3,0.19
A1AZLJ3R5FQ9B7,14,2,4,4,0.47
A1AZLJ3R5FQ9B7,14,3,4,3,0.94
A1AZLJ3R5FQ9B7,14,4,3,4,0.98
A1AZLJ3R5FQ9B7,17,1,4,1,0.04
A1AZLJ3R5FQ9B7,17,2,5,4,0.09
A1AZLJ3R5FQ9B7,17,3,3,6,0.18
A1AZLJ3R5FQ9B7,17,4,2,3,0.18
A1AZLJ3R5FQ9B7,37,1,1,1,0.07
A1AZLJ3R5FQ9B7,37,2,6,6,0.18
A1AZLJ3R5FQ9B7,37,3,2,5,0.18
A1AZLJ3R5FQ9B7,37,4,2,2,0.49
A2EAJ7834XI2IT,1,1,1,3,0.15
A2EAJ7834XI2IT,1,2,1,4,1
A2EAJ7834XI2IT,1,3,6,3,1
A2EAJ7834XI2IT,1,4,6,4,1
A2EAJ7834XI2IT,16,1,3,5,0.13
A2EAJ7834XI2IT,16,2,1,4,1
A2EAJ7834XI2IT,16,3,3,2,1
A2EAJ7834XI2IT,16,4,6,4,1
A2EAJ7834XI2IT,21,1,2,4,0.16
A2EAJ7834XI2IT,21,2,4,2,0.25
A2EAJ7834XI2IT,21,3,3,3,0.39
A2EAJ7834XI2IT,21,4,4,4,0.5
A2EAJ7834XI2IT,2,1,1,2,0.28
A2EAJ7834XI2IT,2,2,1,5,1
A2EAJ7834XI2IT,2,3,6,2,1
A2EAJ7834XI2IT,2,4,6,5,1
A2EAJ7834XI2IT,26,1,2,3,0.09
A2EAJ7834XI2IT,26,2,2,4,0.14
A2EAJ7834XI2IT,26,3,5,3,0.32
A2EAJ7834XI2IT,26,4,4,2,0.37
A2EAJ7834XI2IT,12,1,3,5,0.14
A2EAJ7834XI2IT,12,2,4,2,0.52
A2EAJ7834XI2IT,12,3,5,1,1
A2EAJ7834XI2IT,12,4,3,3,1
A2EAJ7834XI2IT,4,1,2,6,0.15
A2EAJ7834XI2IT,4,2,3,5,0.65
A2EAJ7834XI2IT,4,3,3,2,1
A2EAJ7834XI2IT,4,4,2,1,1
A2EAJ7834XI2IT,18,1,1,4,0.09
A2EAJ7834XI2IT,18,2,3,6,0.29
A2EAJ7834XI2IT,18,3,4,1,0.65
A2EAJ7834XI2IT,18,4,6,3,0.78
A2EAJ7834XI2IT,9,1,2,1,0.14
A2EAJ7834XI2IT,9,2,2,2,0.33
A2EAJ7834XI2IT,9,3,5,3,0.52
A2EAJ7834XI2IT,9,4,6,3,0.78
A2EAJ7834XI2IT,15,1,3,2,0.11
A2EAJ7834XI2IT,15,2,3,4,0.37
A2EAJ7834XI2IT,15,3,5,2,0.77
A2EAJ7834XI2IT,15,4,5,4,1
A2EAJ7834XI2IT,40,1,1,1,0.16
A2EAJ7834XI2IT,40,2,2,2,0.34
A2EAJ7834XI2IT,40,3,6,6,0.54
A2EAJ7834XI2IT,40,4,5,5,0.76
A2EAJ7834XI2IT,14,1,3,3,0.19
A2EAJ7834XI2IT,14,2,4,4,0.27
A2EAJ7834XI2IT,14,3,3,4,0.45
A2EAJ7834XI2IT,14,4,4,3,0.64
